iter	RMSE
0	760.1923589
1	665.2488215
2	578.7068179
3	506.6212888
4	447.1389882
5	395.0962111
6	352.4134576
7	316.3656877
8	285.5751978
9	258.0737817
10	235.7721762
11	219.4517356
12	204.1240933
13	190.3233917
14	179.4427305
15	170.0595235
16	162.2610709
17	155.6502231
18	150.7432088
19	146.1187659
20	140.9891558
21	136.628043
22	132.1748354
23	129.0887596
24	126.2575662
25	123.6785585
26	121.3795543
27	119.4922606
28	117.5248557
29	116.1053559
30	114.3424503
31	112.938595
32	111.4464493
33	109.5506814
34	107.8495219
35	106.8354246
36	104.860914
37	103.6962459
38	102.9931089
39	102.2286666
40	101.3690309
41	100.6625656
42	100.3541097
43	98.92867213
44	97.73340991
45	96.93945903
46	95.96450529
47	95.16958791
48	94.61220705
49	92.79150663
50	92.00356218
51	91.40424486
52	90.30626072
53	88.06840243
54	87.18353071
55	86.87907196
56	86.60505924
57	85.94224476
58	85.28493857
59	83.96668871
60	83.09476656
61	81.43361148
62	80.70983308
63	80.28339835
64	79.88159291
65	78.96669723
66	78.47693996
67	77.65992895
68	77.06163796
69	76.53230367
70	76.0827223
71	75.23940597
72	74.48451365
73	74.02934114
74	73.31816318
75	72.10079434
76	71.71478521
77	71.30806574
78	70.9749251
79	70.52518614
80	69.43258087
81	69.0878848
82	67.97307448
83	67.67277011
84	67.384402
85	66.35328129
86	65.61240448
87	65.27891217
88	65.00406485
89	64.13325142
90	63.47895639
91	63.37791627
92	63.17293773
93	62.39128832
94	62.01161181
95	61.74985005
96	61.66259068
97	61.07150617
98	60.53362003
99	60.29382149
100	59.67520436
101	59.40098582
102	59.22429287
103	58.98838223
104	58.79249384
105	58.53907681
106	58.2081289
107	58.13665247
108	57.94089138
109	57.17383995
110	56.92499875
111	56.83618956
112	56.57996725
113	56.06886658
114	55.537048
115	55.35308125
116	55.3004641
117	55.15459845
118	55.06600031
119	54.35956489
120	54.24001671
121	54.07626072
122	53.94572176
123	53.32023851
124	52.99759769
125	52.42505987
126	52.23045069
127	51.87266856
128	51.80195296
129	51.41357306
130	51.18871984
131	51.01374914
132	50.96886758
133	50.6292841
134	50.38186437
135	50.16533494
136	49.92501608
137	49.58886464
138	49.0490263
139	48.87468013
140	48.56493928
141	48.34994925
142	48.29471873
143	48.14167001
144	47.75655585
145	47.54760485
146	47.25867416
147	47.11700615
148	47.01032754
149	46.61568948
150	46.41474142
151	45.99191023
152	45.74995197
153	45.31030092
154	45.18648586
155	44.91418449
156	44.73278922
157	44.57238795
158	43.95729163
159	43.60055063
160	43.46188199
161	43.13567391
162	42.99286404
163	42.69317779
164	42.50389432
165	42.27314017
166	41.99575456
167	41.81283291
168	41.7083864
169	41.47880785
170	41.29289409
171	41.25268145
172	41.01325803
173	40.81109527
174	40.56541648
175	40.44338578
176	40.07732219
177	39.88710397
178	39.71899369
179	39.40560272
180	39.23935126
181	39.01736976
182	38.84451637
183	38.550445
184	38.40746708
185	38.36741259
186	38.33265056
187	38.30080508
188	38.11665094
189	37.86662755
190	37.68233921
191	37.33617596
192	37.20851098
193	37.00272377
194	36.88675738
195	36.78314042
196	36.57335746
197	36.43185766
198	36.04032357
199	35.93122711
200	35.90706105
201	35.8293836
202	35.71504573
203	35.68821601
204	35.50544497
205	35.38431272
206	35.28333458
207	35.15173868
208	34.91262478
209	34.88847961
210	34.86828133
211	34.70752611
212	34.61068158
213	34.48492752
214	34.34808834
215	34.21390668
216	33.94404045
217	33.90417434
218	33.76363614
219	33.64546469
220	33.39123562
221	33.36377071
222	33.23566542
223	33.14927281
224	32.93733597
225	32.9120112
226	32.77143306
227	32.69141762
228	32.62497598
229	32.52898644
230	32.36309095
231	32.15719897
232	32.06958207
233	32.02507668
234	32.00135623
235	31.92186502
236	31.78065702
237	31.6530792
238	31.60378068
239	31.47157321
240	31.40016008
241	31.28350045
242	31.25550713
243	31.17176852
244	31.06568513
245	31.04430411
246	30.94841655
247	30.75279523
248	30.58998545
249	30.49955708
250	30.43055527
251	30.21754044
252	30.02975811
253	29.85734003
254	29.6988525
255	29.55302498
256	29.41872752
257	29.29495168
258	29.18079437
259	29.07544428
260	28.90455971
261	28.84738591
262	28.77579482
263	28.7597906
264	28.74401389
265	28.51840525
266	28.50633069
267	28.48682877
268	28.37014936
269	28.3406074
270	28.28829
271	28.25896075
272	28.2082954
273	27.93397961
274	27.83367576
275	27.74105569
276	27.6554905
277	27.57641049
278	27.46576016
279	27.45511057
280	27.29394191
281	27.22398741
282	27.13277498
283	27.0847139
284	27.00989962
285	26.99910088
286	26.89797065
287	26.86101171
288	26.80922643
289	26.78950757
290	26.76541726
291	26.74808675
292	26.73212939
293	26.71194992
294	26.67831625
295	26.62959477
296	26.52437675
297	26.42037921
298	26.3272901
299	26.30906584
300	26.26376298
301	26.24011983
302	26.122551
303	26.05595528
304	25.99428843
305	25.87498745
306	25.81793984
307	25.76530809
308	25.71672419
309	25.67185574
310	25.65735344
311	25.63929282
312	25.62999342
313	25.48669364
314	25.42458874
315	25.24800834
316	25.21449944
317	25.07526017
318	25.03552802
319	24.94053492
320	24.844544
321	24.83269366
322	24.81709131
323	24.80657363
324	24.7930339
325	24.7571455
